Sub Classe,Ativo,Emissor,Fundo,Vencimento_final,KEY_STRICT
Letra Financeira,LF002400KC0,BANCO MERCANTIL DO BRASIL S.A.,JERA2026,2026-07-31,LETRA FINANCEIRA | LF002400KC0 | BANCO MERCANTIL DO BRASIL S.A. | JERA2026 | 2026-07-31
Letra Financeira,LF002400KBX,BANCO MERCANTIL DO BRASIL S.A.,MANACA INFRA FIRF,2026-07-31,LETRA FINANCEIRA | LF002400KBX | BANCO MERCANTIL DO BRASIL S.A. | MANACA INFRA FIRF | 2026-07-31
Letra Financeira,LF002400KC1,BANCO MERCANTIL DO BRASIL S.A.,REAL FIM,2026-07-31,LETRA FINANCEIRA | LF002400KC1 | BANCO MERCANTIL DO BRASIL S.A. | REAL FIM | 2026-07-31
Letra Financeira,LF002400KC2,BANCO MERCANTIL DO BRASIL S.A.,TOPAZIO INFRA,2026-07-31,LETRA FINANCEIRA | LF002400KC2 | BANCO MERCANTIL DO BRASIL S.A. | TOPAZIO INFRA | 2026-07-31
Debêntures,KLBNA2,KLABIN S/A,BH FIRF INFRA,2029-03-19,DEBENTURES | KLBNA2 | KLABIN S/A | BH FIRF INFRA | 2029-03-19
Debêntures,KLBNA2,KLABIN S/A,FIRF GERAES,2029-03-19,DEBENTURES | KLBNA2 | KLABIN S/A | FIRF GERAES | 2029-03-19
Debêntures,KLBNA2,KLABIN S/A,FIRF GERAES 30,2029-03-19,DEBENTURES | KLBNA2 | KLABIN S/A | FIRF GERAES 30 | 2029-03-19
Debêntures,KLBNA2,KLABIN S/A,HORIZONTE,2029-03-19,DEBENTURES | KLBNA2 | KLABIN S/A | HORIZONTE | 2029-03-19
Debêntures,KLBNA2,KLABIN S/A,REAL FIM,2029-03-19,DEBENTURES | KLBNA2 | KLABIN S/A | REAL FIM | 2029-03-19
Debêntures,HAPV21,HAPVIDA PARTICIPACOES E INVESTIMENTOS S/A,JERA2026,2026-07-10,DEBENTURES | HAPV21 | HAPVIDA PARTICIPACOES E INVESTIMENTOS S/A | JERA2026 | 2026-07-10
CDB,CDB3253PPYA,PARANA BANCO S.A.,BH FIRF INFRA,2026-03-10,CDB | CDB3253PPYA | PARANA BANCO S.A. | BH FIRF INFRA | 2026-03-10
CDB,CDB3253PPYA,PARANA BANCO S.A.,FIRF GERAES,2026-03-10,CDB | CDB3253PPYA | PARANA BANCO S.A. | FIRF GERAES | 2026-03-10
CDB,CDB3253PPYA,PARANA BANCO S.A.,FIRF GERAES 30,2026-03-10,CDB | CDB3253PPYA | PARANA BANCO S.A. | FIRF GERAES 30 | 2026-03-10
CDB,CDB3253PPYA,PARANA BANCO S.A.,JERA2026,2026-03-10,CDB | CDB3253PPYA | PARANA BANCO S.A. | JERA2026 | 2026-03-10
CDB,CDB3253PPYA,PARANA BANCO S.A.,MANACA INFRA FIRF,2026-03-10,CDB | CDB3253PPYA | PARANA BANCO S.A. | MANACA INFRA FIRF | 2026-03-10
CDB,CDB3253PPYA,PARANA BANCO S.A.,REAL FIM,2026-03-10,CDB | CDB3253PPYA | PARANA BANCO S.A. | REAL FIM | 2026-03-10
CDB,CDB424EERW3,BANCO VOLKSWAGEN S/A,BBRASIL FIM CP RESP,2026-05-04,CDB | CDB424EERW3 | BANCO VOLKSWAGEN S/A | BBRASIL FIM CP RESP | 2026-05-04
CDB,CDB925CDN0L,BANCO VOLKSWAGEN S/A,BBRASIL FIM CP RESP,2025-12-22,CDB | CDB925CDN0L | BANCO VOLKSWAGEN S/A | BBRASIL FIM CP RESP | 2025-12-22
CDB,CDB725BEF4D,BANCO RANDON,BMG SEG,2025-11-10,CDB | CDB725BEF4D | BANCO RANDON | BMG SEG | 2025-11-10
CDB,CDB725BEF4B,BANCO RANDON,FIRF GERAES,2025-11-10,CDB | CDB725BEF4B | BANCO RANDON | FIRF GERAES | 2025-11-10
CDB,CDB725BEF4E,BANCO RANDON,FIRF GERAES 30,2025-11-10,CDB | CDB725BEF4E | BANCO RANDON | FIRF GERAES 30 | 2025-11-10
CDB,CDB725BEF4C,BANCO RANDON,HORIZONTE,2025-11-10,CDB | CDB725BEF4C | BANCO RANDON | HORIZONTE | 2025-11-10
CDB,CDB725BEF4A,BANCO RANDON,REAL FIM,2025-11-10,CDB | CDB725BEF4A | BANCO RANDON | REAL FIM | 2025-11-10
CDB,CDB7257QUDI,BANCO INTER SA,BMG SEG,2026-07-10,CDB | CDB7257QUDI | BANCO INTER SA | BMG SEG | 2026-07-10
CDB,CDB7257QUDG,BANCO INTER SA,FIRF GERAES,2026-07-10,CDB | CDB7257QUDG | BANCO INTER SA | FIRF GERAES | 2026-07-10
CDB,CDB7257QUDH,BANCO INTER SA,FIRF GERAES 30,2026-07-10,CDB | CDB7257QUDH | BANCO INTER SA | FIRF GERAES 30 | 2026-07-10
CDB,CDB7257QUDF,BANCO INTER SA,REAL FIM,2026-07-10,CDB | CDB7257QUDF | BANCO INTER SA | REAL FIM | 2026-07-10
CDB,CDB3239C4TL,BANCO BTG PACTUAL S.A.,BBRASIL FIM CP RESP,2026-07-20,CDB | CDB3239C4TL | BANCO BTG PACTUAL S.A. | BBRASIL FIM CP RESP | 2026-07-20
CDB,CDB3251WXH0,AGIBANK,BH FIRF INFRA,2027-03-08,CDB | CDB3251WXH0 | AGIBANK | BH FIRF INFRA | 2027-03-08
CDB,CDB3251WXH0,AGIBANK,FIRF GERAES,2027-03-08,CDB | CDB3251WXH0 | AGIBANK | FIRF GERAES | 2027-03-08
CDB,CDB3251WXH0,AGIBANK,FIRF GERAES 30,2027-03-08,CDB | CDB3251WXH0 | AGIBANK | FIRF GERAES 30 | 2027-03-08
CDB,CDB3251WXH0,AGIBANK,TOPAZIO INFRA,2027-03-08,CDB | CDB3251WXH0 | AGIBANK | TOPAZIO INFRA | 2027-03-08
